id,created_at,title,content,isPublic
60c1acca-ae6d-46bc-a86f-cfa87891543a,2024-05-09T15:33:41.426049,The Art of Mindful Living,"This blog discusses 'The Art of Mindful Living' in depth, offering practical advice and insights for readers to apply in their lives.",True
e590dc72-7c28-4fbd-9cbe-706406abb905,2024-02-14T15:33:41.426355,How to Create a Morning Routine That Works,"This blog discusses 'How to Create a Morning Routine That Works' in depth, offering practical advice and insights for readers to apply in their lives.",True
761fd587-bd3e-43b6-9a67-0a3417600ce0,2024-01-30T15:33:41.426538,5 Simple Yoga Poses for Beginners,"This blog discusses '5 Simple Yoga Poses for Beginners' in depth, offering practical advice and insights for readers to apply in their lives.",False
ba91c338-82b7-495c-b234-0799f0fb7f9e,2024-01-16T15:33:41.426790,The Power of Gratitude Journaling,"This blog discusses 'The Power of Gratitude Journaling' in depth, offering practical advice and insights for readers to apply in their lives.",False
6f837922-1f11-4ab5-b50b-452dd7038bd9,2024-09-05T15:33:41.427367,Meditation Techniques for a Calm Mind,"This blog discusses 'Meditation Techniques for a Calm Mind' in depth, offering practical advice and insights for readers to apply in their lives.",False
4186e2e0-b171-4c11-bae7-e3d031fa9461,2024-10-09T15:33:41.427517,How to Balance Work and Personal Life,"This blog discusses 'How to Balance Work and Personal Life' in depth, offering practical advice and insights for readers to apply in their lives.",False
48c48300-e9c2-4493-9022-87ffd6d7735c,2024-05-03T15:33:41.427585,Benefits of Practicing Yoga Daily,"This blog discusses 'Benefits of Practicing Yoga Daily' in depth, offering practical advice and insights for readers to apply in their lives.",False
f346e887-03a2-46ac-b878-291ecf957f71,2024-12-10T15:33:41.427923,The Science Behind Productivity,"This blog discusses 'The Science Behind Productivity' in depth, offering practical advice and insights for readers to apply in their lives.",True
bc1e073b-59af-4d30-96d0-22149f6f2e69,2024-05-29T15:33:41.428087,Tips for Better Sleep and Relaxation,"This blog discusses 'Tips for Better Sleep and Relaxation' in depth, offering practical advice and insights for readers to apply in their lives.",False
585ab5ed-b345-4969-8bbc-6f1298967d08,2024-09-17T15:33:41.428363,Journaling for Self-Reflection,"This blog discusses 'Journaling for Self-Reflection' in depth, offering practical advice and insights for readers to apply in their lives.",True
1574836d-39e1-47b5-916b-deb9945afcb7,2024-11-17T15:33:41.428454,Mindfulness Exercises for Stress Relief,"This blog discusses 'Mindfulness Exercises for Stress Relief' in depth, offering practical advice and insights for readers to apply in their lives.",False
4d7cb1d1-7ddf-47c6-a71a-a742e8c5c046,2023-12-20T15:33:41.428491,How to Stay Focused in a Distracted World,"This blog discusses 'How to Stay Focused in a Distracted World' in depth, offering practical advice and insights for readers to apply in their lives.",False
66e7ff46-c4d6-4fba-b50b-941195cebd82,2024-07-02T15:33:41.428517,The Importance of Taking Breaks,"This blog discusses 'The Importance of Taking Breaks' in depth, offering practical advice and insights for readers to apply in their lives.",False
22094200-a3a6-45f6-9861-f58c0265b486,2024-12-08T15:33:41.428541,Healthy Habits to Boost Your Energy,"This blog discusses 'Healthy Habits to Boost Your Energy' in depth, offering practical advice and insights for readers to apply in their lives.",True
4c268195-e54c-4a04-b6b6-c2fc581fd738,2024-05-26T15:33:41.428585,How to Create a Vision Board,"This blog discusses 'How to Create a Vision Board' in depth, offering practical advice and insights for readers to apply in their lives.",True
5f19c7f7-5343-4c91-bbb1-620715890bb0,2024-08-24T15:33:41.428638,Steps to Overcome Procrastination,"This blog discusses 'Steps to Overcome Procrastination' in depth, offering practical advice and insights for readers to apply in their lives.",True
de858527-bf54-4457-bf80-f7553f27c6e7,2024-10-07T15:33:41.428673,Building Resilience Through Meditation,"This blog discusses 'Building Resilience Through Meditation' in depth, offering practical advice and insights for readers to apply in their lives.",False
1d051210-1799-4a35-8044-3e731cce76b5,2024-05-26T15:33:41.428740,The Connection Between Diet and Mental Health,"This blog discusses 'The Connection Between Diet and Mental Health' in depth, offering practical advice and insights for readers to apply in their lives.",False
ac9fd09b-a127-45c6-9793-9503af6ccac7,2024-08-06T15:33:41.428800,Finding Peace in Nature Walks,"This blog discusses 'Finding Peace in Nature Walks' in depth, offering practical advice and insights for readers to apply in their lives.",False
3344b655-06c1-43f4-814a-cae94cdcaa14,2024-06-05T15:33:41.428829,Simple Ways to Practice Self-Care,"This blog discusses 'Simple Ways to Practice Self-Care' in depth, offering practical advice and insights for readers to apply in their lives.",False
